Parametros calculados,,,,,
U - velocidade linear da pá,Vj - velocidade do jato de água,Cv - coeficiente de velocidade,N - Rotação do impulsor da turbina,Fator de velocidade periférica,D
m/s,m/s,,rad/s,,
,,,,,
"46,62","46,76","43,81382","125,77","42,56","0,99701"
"46,66","46,79","43,57839","125,87","42,59","0,99722"
"46,62","46,77","43,12779","125,77","42,56","0,99679"
"46,66","46,79","44,41251","125,87","42,59","0,99722"
"46,78","46,91","44,18094","126,19","42,70","0,99723"
"46,62","46,75","44,20551","125,77","42,56","0,99722"
"46,74","46,87","44,49249","126,08","42,67","0,99723"
"46,31","46,45","43,57130","124,93","42,28","0,99699"
"46,35","46,48","43,31787","125,04","42,31","0,99720"
"46,58","46,70","44,54628","125,66","46,58","0,99743"
"46,51","46,63","44,32307","125,45","42,46","0,99743"
"46,70","46,80","44,19609","125,98","42,63","0,99786"
"46,39","46,48","42,57590","125,14","42,35","0,99806"
"46,55","46,58","41,82929","125,56","42,49","0,99936"
