P_atm_mbar,Temp_amb_Celsius,hum_rela_ar,Pot_W,ruido_dB,Frequencia_Hz,Tensao_V,Temp_esc_Celsius,tempo_s,massa_g
913,24.6,74,160,92.3,61,102,256,0,-4
913,24.6,74,160,92.3,61,102,256,30,-6
913,24.6,74,160,92.3,61,102,256,60,-9
913,24.6,74,160,92.3,61,102,256,90,-12
913,24.6,74,160,92.3,61,102,256,120,-14
913,24.6,74,160,92.3,61,102,256,150,-17
913,24.6,74,160,92.3,61,102,256,180,-19
913,24.6,74,160,92.3,61,102,256,210,-22
913,24.6,74,160,92.3,61,102,256,240,-25
913,24.6,74,160,92.3,61,102,256,270,-27
913,24.6,74,160,92.3,61,102,256,300,-30
913,24.6,74,160,92.3,61,102,256,330,-32
913,24.6,74,160,92.3,61,102,256,360,-34
913,24.6,74,540,94,60.8,101,310,0,-4
913,24.6,74,540,94,60.8,101,310,30,-7
913,24.6,74,540,94,60.8,101,310,60,-10
913,24.6,74,540,94,60.8,101,310,90,-13
913,24.6,74,540,94,60.8,101,310,120,-17
913,24.6,74,540,94,60.8,101,310,150,-20
913,24.6,74,540,94,60.8,101,310,180,-24
913,24.6,74,540,94,60.8,101,310,210,-28
913,24.6,74,540,94,60.8,101,310,240,-31
913,24.6,74,540,94,60.8,101,310,270,-35
913,24.6,74,540,94,60.8,101,310,300,-39
913,24.6,74,540,94,60.8,101,310,330,-42
913,24.6,74,540,94,60.8,101,310,360,-46
913,24.6,74,0,91.5,61.3,102,243,0,-4
913,24.6,74,0,91.5,61.3,102,243,30,-6
913,24.6,74,0,91.5,61.3,102,243,60,-9
913,24.6,74,0,91.5,61.3,102,243,90,-11
913,24.6,74,0,91.5,61.3,102,243,120,-14
913,24.6,74,0,91.5,61.3,102,243,150,-16
913,24.6,74,0,91.5,61.3,102,243,180,-18
913,24.6,74,0,91.5,61.3,102,243,210,-20
913,24.6,74,0,91.5,61.3,102,243,240,-23
913,24.6,74,0,91.5,61.3,102,243,270,-26
913,24.6,74,0,91.5,61.3,102,243,300,-28
913,24.6,74,0,91.5,61.3,102,243,330,-30
913,24.6,74,0,91.5,61.3,102,243,360,-33
